observation_date,ral_cary,char_con_gast,gso_hp
2020-02-01,0.0,0.0,0.0
2020-02-02,-0.4,-0.1,-0.1
2020-02-03,-0.6,0.0,-0.2
2020-02-04,-0.9,-0.1,-0.4
2020-02-05,-1.2,0.0,-0.3
2020-02-06,-1.2,0.1,-0.2
2020-02-07,-1.4,0.1,-0.2
2020-02-08,-1.4,0.1,-0.2
2020-02-09,-1.4,0.2,-0.1
2020-02-10,-1.7,0.1,-0.1
2020-02-11,-1.7,0.1,-0.1
2020-02-12,-1.7,0.1,-0.3
2020-02-13,-2.0,0.0,-0.6
2020-02-14,-2.0,0.0,-0.8
2020-02-15,-2.3,-0.2,-1.5
2020-02-16,-2.6,-0.3,-1.9
2020-02-17,-2.8,-0.5,-2.3
2020-02-18,-3.0,-0.6,-2.6
2020-02-19,-3.4,-0.9,-3.0
2020-02-20,-3.6,-1.2,-3.4
2020-02-21,-4.0,-1.5,-3.8
2020-02-22,-4.2,-1.8,-4.0
2020-02-23,-4.4,-2.0,-4.2
2020-02-24,-4.6,-2.2,-4.4
2020-02-25,-4.8,-2.4,-4.6
2020-02-26,-4.9,-2.4,-4.8
2020-02-27,-5.0,-2.5,-5.0
2020-02-28,-5.0,-2.4,-5.0
2020-02-29,-4.9,-2.4,-4.8
2020-03-01,-4.9,-2.5,-4.8
2020-03-02,-5.0,-2.6,-4.8
2020-03-03,-5.0,-2.9,-4.7
2020-03-04,-5.0,-3.1,-4.7
2020-03-05,-5.1,-3.5,-4.6
2020-03-06,-5.2,-3.9,-4.8
2020-03-07,-5.4,-4.2,-4.8
2020-03-08,-5.5,-4.6,-4.8
2020-03-09,-5.8,-4.8,-4.8
2020-03-10,-5.9,-5.0,-4.8
2020-03-11,-6.0,-5.2,-4.8
2020-03-12,-6.2,-5.4,-4.8
2020-03-13,-6.3,-5.5,-4.9
2020-03-14,-6.5,-5.7,-5.2
2020-03-15,-6.7,-5.8,-5.4
2020-03-16,-6.9,-6.0,-5.6
2020-03-17,-7.4,-6.4,-6.2
2020-03-18,-8.0,-7.1,-6.8
2020-03-19,-8.7,-8.0,-7.8
2020-03-20,-9.7,-9.1,-9.0
2020-03-21,-11.0,-10.6,-10.2
2020-03-22,-12.2,-12.0,-11.4
2020-03-23,-13.4,-13.4,-12.7
2020-03-24,-14.6,-14.8,-13.9
2020-03-25,-16.0,-16.1,-15.1
2020-03-26,-17.4,-17.6,-16.2
2020-03-27,-18.9,-19.0,-17.2
2020-03-28,-20.2,-20.1,-18.2
2020-03-29,-21.6,-21.4,-19.3
2020-03-30,-22.9,-22.6,-20.3
2020-03-31,-24.1,-23.8,-21.2
2020-04-01,-25.5,-25.0,-22.2
2020-04-02,-26.8,-26.2,-23.2
2020-04-03,-27.7,-27.1,-23.8
2020-04-04,-28.6,-28.2,-24.8
2020-04-05,-29.6,-29.2,-25.7
2020-04-06,-30.6,-30.2,-26.6
2020-04-07,-31.6,-31.4,-27.7
2020-04-08,-32.2,-32.2,-28.6
2020-04-09,-32.8,-33.0,-29.5
2020-04-10,-33.6,-33.9,-30.6
2020-04-11,-34.2,-34.5,-31.2
2020-04-12,-34.8,-35.0,-32.0
2020-04-13,-35.4,-35.6,-32.9
2020-04-14,-35.7,-36.0,-33.3
2020-04-15,-36.2,-36.4,-33.8
2020-04-16,-36.7,-36.8,-34.3
2020-04-17,-37.0,-37.0,-34.6
2020-04-18,-37.4,-37.3,-35.2
2020-04-19,-37.9,-37.5,-35.7
2020-04-20,-38.2,-37.8,-36.0
2020-04-21,-38.5,-38.0,-36.5
2020-04-22,-38.9,-38.2,-37.2
2020-04-23,-39.2,-38.5,-37.7
2020-04-24,-39.5,-38.7,-38.3
2020-04-25,-39.7,-38.8,-38.6
2020-04-26,-39.9,-39.0,-38.8
2020-04-27,-40.0,-39.2,-39.3
2020-04-28,-40.2,-39.3,-39.6
2020-04-29,-40.4,-39.6,-39.9
2020-04-30,-40.5,-39.8,-40.0
2020-05-01,-40.8,-40.1,-40.2
2020-05-02,-41.1,-40.4,-40.4
2020-05-03,-41.4,-40.7,-40.6
2020-05-04,-41.8,-41.1,-40.7
2020-05-05,-42.1,-41.3,-40.8
2020-05-06,-42.2,-41.3,-40.6
2020-05-07,-42.2,-41.2,-40.5
2020-05-08,-42.0,-41.0,-40.2
2020-05-09,-41.7,-40.7,-39.7
2020-05-10,-41.3,-40.4,-39.2
2020-05-11,-41.1,-40.1,-38.9
2020-05-12,-40.9,-39.9,-38.5
2020-05-13,-41.0,-40.0,-38.4
2020-05-14,-41.1,-40.0,-38.3
2020-05-15,-41.0,-40.0,-38.0
2020-05-16,-41.2,-40.1,-38.0
2020-05-17,-41.2,-40.1,-37.9
2020-05-18,-41.2,-40.0,-37.7
2020-05-19,-41.1,-40.0,-37.6
2020-05-20,-40.7,-39.6,-37.3
2020-05-21,-40.4,-39.3,-37.0
2020-05-22,-40.1,-39.0,-36.8
2020-05-23,-39.8,-38.7,-36.4
2020-05-24,-39.6,-38.5,-36.1
2020-05-25,-39.4,-38.3,-35.9
2020-05-26,-39.2,-38.1,-35.6
2020-05-27,-39.0,-37.9,-35.4
2020-05-28,-39.0,-37.9,-35.3
2020-05-29,-38.6,-37.6,-34.5
2020-05-30,-38.0,-37.1,-33.6
