SALARY,HOURLY RATE,TITLE,DEPARTMENT
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$32,166.61 ",,POLICE OFFICER,POLICE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$35,667.52 ",,HOUSING INSPECTOR (I),INSPECTIONS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$32,166.61 ",,POLICE OFFICER,POLICE
"$23,474.67 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$35,418.45 ",,MAINTENANCE WORKER I,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$20.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$35,350.22 ",,VEHICLE FLEET SERVICES MANAGER,PUBLIC WORKS
,$20.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$48,202.23 ",,REVENUE SERVICES SUPERVISOR,FINANCE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$43,063.90 ",,INFORMATION RESPONSE TECHNICIAN,POLICE
"$47,299.25 ",,SENIOR FIREFIGHTER,FIRE
,$11.00 ,WATER METER MECHANIC,PUBLIC UTILITIES
"$45,895.45 ",,ASST. RCCC BOX OFFICE MANAGER,CONVENTION CENTER
,$10.29 ,CL. ASSISTANT II (T),PERSONNEL
"$28,139.49 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$54,400.16 ",,MASTER POLICE OFFICER,POLICE
"$51,152.62 ",,FIRE LIEUTENANT,FIRE
"$31,069.29 ",,SENIOR ACCOUNTING ASSISTANT,FINANCE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$42,605.97 ",,REC FACIL & PROGRAM SUPV III,PARK AND RECREATION
"$22,523.27 ",,STAFF SUPPORT SPECIALIST,SOLID WASTE SERVICES
"$31,548.80 ",,FIREFIGHTER,FIRE
"$31,667.17 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$42,477.81 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
,$11.25 ,PROGRAM SPECIALIST VI-E (T),PARK AND RECREATION
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$41,956.72 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
"$63,945.42 ",,SENIOR DATABASE ADMINISTRATOR,INFORMATION TECHNOLOGY
"$47,756.00 ",,MASTER POLICE OFFICER,POLICE
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$39,222.24 ",,FIRST CLASS POLICE OFFICER,POLICE
,$8.25 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$26,266.53 ",,SENIOR STAFF SUPPORT SPECIALIST,INSPECTIONS
"$26,303.26 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
"$51,078.84 ",,ENGINEERING INSPECTOR,PUBLIC WORKS
"$64,579.14 ",,STAFF ASSISTANT,GENERAL GOVERNMENT
"$67,219.39 ",,SENIOR STAFF ANALYST,PARK AND RECREATION
"$56,147.77 ",,CADD TECHNICIAN SUPERVISOR,PUBLIC WORKS
"$55,617.49 ",,FIRE LIEUTENANT,FIRE
"$48,446.32 ",,ANIMAL CONTROL SUPERVISOR,POLICE
,$15.00 ,YOUTH INSTRUCTOR(T),PARK AND RECREATION
