SALARY,TITLE,DEPARTMENT
"$43,274.71 ",ADMINISTRATIVE ASSISTANT,DEPT OF COMMUNITY DEVELOPMENT
"$89,964.46 ",PUBLIC WORKS OPERATIONS MGR,PUBLIC WORKS
"$60,261.96 ",TRANSPORTATION PLANNER II,PUBLIC WORKS
"$12,238.98 ",PARTTIME OFFICIAL/ADMIN,COUNCIL
"$12,238.98 ",PARTTIME OFFICIAL/ADMIN,COUNCIL
"$12,238.98 ",PARTTIME OFFICIAL/ADMIN,COUNCIL
"$12,238.98 ",PARTTIME OFFICIAL/ADMIN,COUNCIL
"$12,238.98 ",PARTTIME OFFICIAL/ADMIN,COUNCIL
"$48,880.00 ",EXECUTIVE ASSISTANT TO CITY MG,CITY MANAGER
"$67,320.60 ",ORGANIZATION DEV MANAGER,CITY MANAGER
"$160,860.18 ",CITY MANAGER,CITY MANAGER
"$49,031.85 ",EXECUTIVE ASSISTANT TO CITY MG,CITY MANAGER
"$89,888.00 ",SENIOR ASSISTANT TO CITY MANAG,CITY MANAGER
"$46,886.70 ",EXECUTIVE ASSISTANT TO CITY MG,CITY MANAGER
"$117,420.00 ",DEPUTY CITY MANAGER,CITY MANAGER
"$33,390.00 ",STAFF ASSISTANT,CITY MANAGER
"$70,385.12 ",STRATEGIC INITIATIVE MANAGER,CITY MANAGER
"$62,134.80 ",PRINCIPAL BUDGET & MGMT ANALYS,CITY MANAGER
"$21,008.00 ",SERVICE MAINTENANCE,CITY MANAGER
"$122,003.50 ",DEPUTY CITY MANAGER,CITY MANAGER
"$62,675.68 ",PRINCIPAL BUDGET & MGMT ANALYS,CITY MANAGER
"$49,438.40 ",PUBLIC AFFAIRS  SPECIALIST,CITY MANAGER
"$45,410.06 ",PROGRAM PRODUCTION MANAGER,CITY MANAGER
"$44,557.80 ",PUBLIC AFFAIRS  SPECIALIST,CITY MANAGER
"$94,815.00 ",PUBLIC AFFAIRS DIRECTOR,CITY MANAGER
"$42,335.34 ",CUSTOMER SERVICE SUPERVISOR,CITY MANAGER
"$29,512.52 ",CUSTOMER SERVICE REPRESENTATIV,CITY MANAGER
"$29,628.06 ",CUSTOMER SERVICE REPRESENTATIV,CITY MANAGER
"$30,039.34 ",CUSTOMER SERVICE REPRESENTATIV,CITY MANAGER
"$32,184.41 ",CUSTOMER SERVICE REPRESENTATIV,CITY MANAGER
"$34,473.07 ",CUSTOMER SERVICE REPRESENTATIV,CITY MANAGER
"$34,665.18 ",CUSTOMER SERVICE REPRESENTATIV,CITY MANAGER
"$28,574.70 ",CUSTOMER SERVICE REPRESENTATIV,CITY MANAGER
"$49,303.80 ",ADMINISTRATIVE ASSISTANT,CITY MANAGER
"$31,991.40 ",CALL CENTER LEAD/TRAINER,CITY MANAGER
"$28,524.60 ",CUSTOMER SERVICE REPRESENTATIV,CITY MANAGER
"$45,781.29 ",MANAGEMENT ASSISTANT,CITY CLERK
"$62,563.97 ",DEPUTY CITY CLERK,CITY CLERK
"$46,609.70 ",MANAGEMENT ASSISTANT,CITY CLERK
"$45,698.73 ",MANAGEMENT ASSISTANT,CITY CLERK
"$89,987.04 ",CITY CLERK,CITY CLERK
"$34,162.66 ",EXECUTIVE SECRETARY,CITY CLERK
"$44,508.01 ",ADMINISTRATIVE ASSISTANT,CITY CLERK
"$175,702.80 ",CITY ATTORNEY,CITY ATTORNEY
"$83,323.97 ",SR ASSISTANT CITY ATTORNEY,CITY ATTORNEY
"$35,153.06 ",SECRETARY,CITY ATTORNEY
"$88,000.00 ",SR ASSISTANT CITY ATTORNEY,CITY ATTORNEY
"$98,702.06 ",SR ASSISTANT CITY ATTORNEY,CITY ATTORNEY
"$112,226.24 ",SR ASSISTANT CITY ATTORNEY,CITY ATTORNEY
"$121,789.39 ",SR ASSISTANT CITY ATTORNEY,CITY ATTORNEY
"$36,913.76 ",PARALEGAL,CITY ATTORNEY
"$44,480.16 ",ASSISTANT TO CITY ATTORNEY,CITY ATTORNEY
"$60,894.73 ",SR ASSISTANT CITY ATTORNEY,CITY ATTORNEY
"$61,493.04 ",INTERNAL AUDITOR,AUDIT SERVICES
"$93,335.51 ",SERVCES,AUDIT SERVICES
"$51,474.02 ",SENIOR INTERNAL AUDITOR,AUDIT SERVICES
"$42,533.13 ",MANAGEMENT ASSISTANT,AUDIT SERVICES
"$67,782.00 ",SENIOR INTERNAL AUDITOR,AUDIT SERVICES
"$64,148.45 ",CORPORATE SR BUDGET & MGMT AN,BUDGET AND MANAGEMENT SERVICES
"$118,165.70 ",ASSISTANT CITY MANAGER,BUDGET AND MANAGEMENT SERVICES
"$48,179.25 ",CORPORATE BUDGET & MGMT ANAL,BUDGET AND MANAGEMENT SERVICES
"$46,010.63 ",CORPORATE BUDGET & MGMT ANAL,BUDGET AND MANAGEMENT SERVICES
"$38,808.00 ",MANAGEMENT ASSISTANT,BUDGET AND MANAGEMENT SERVICES
"$78,440.00 ",ASST BUD/MGT SERV DIRECTOR,BUDGET AND MANAGEMENT SERVICES
"$72,556.63 ",COR PRINCIPAL BUDGET & MGMT AN,BUDGET AND MANAGEMENT SERVICES
"$88,862.54 ",ASST BUD/MGT SERV DIRECTOR,BUDGET AND MANAGEMENT SERVICES
"$56,763.00 ",CORPORATE SR BUDGET & MGMT AN,BUDGET AND MANAGEMENT SERVICES
"$111,859.70 ",ASSISTANT CITY MANAGER,ECONOMIC & EMPLOYMENT DEVELOPM
"$58,738.72 ",SR. ECONOMIC DEVELOPMENT COORD,ECONOMIC & EMPLOYMENT DEVELOPM
"$75,967.76 ",DEVELOP.,ECONOMIC & EMPLOYMENT DEVELOPM
"$42,960.64 ",ECONOMIC DEVELOPMENT COORDINAT,ECONOMIC & EMPLOYMENT DEVELOPM
"$35,616.02 ",EXECUTIVE SECRETARY,ECONOMIC & EMPLOYMENT DEVELOPM
"$53,962.55 ",FISCAL PROGRAM ACCOUNTANT,ECONOMIC & EMPLOYMENT DEVELOPM
"$66,560.00 ",PARTTIME OFFICE/CLERICAL,ECONOMIC & EMPLOYMENT DEVELOPM
"$42,984.57 ",ASST COMMUNICATIONS SHIFT SUPV,EMERGENCY COMMUNICATION
"$38,250.04 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$36,592.19 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$45,888.50 ",TELECOMMUNICATOR TRAINEE,EMERGENCY COMMUNICATION
"$33,022.08 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$29,536.00 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$38,617.82 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$36,934.98 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$35,212.00 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$33,022.08 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$51,045.02 ",COMMUNICATIONS SHIFT SUPERVISO,EMERGENCY COMMUNICATION
"$31,012.80 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$29,536.00 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$31,012.80 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$56,109.04 ",TELECOMMUNICATOR TRAINEE,EMERGENCY COMMUNICATION
"$46,443.02 ",ASST COMMUNICATIONS SHIFT SUPV,EMERGENCY COMMUNICATION
"$31,012.80 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$29,536.00 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$31,449.60 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$31,308.16 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$38,702.00 ",ASST COMMUNICATIONS SHIFT SUPV,EMERGENCY COMMUNICATION
"$37,842.81 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$33,639.00 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$29,536.00 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$29,536.00 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$29,536.00 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$31,012.80 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$32,939.71 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$29,536.00 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$39,750.96 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$37,843.56 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$63,599.94 ",ASSIST COMMUN. MGR/OPERATIONS,EMERGENCY COMMUNICATION
"$47,535.49 ",COMMUNICATIONS SHIFT SUPERVISO,EMERGENCY COMMUNICATION
"$31,308.16 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$31,012.80 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$37,045.88 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$29,536.00 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$35,736.06 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$36,947.46 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$51,631.53 ",ASSISTANT COMMUNICATIONS MGR/A,EMERGENCY COMMUNICATION
"$30,659.20 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$38,134.72 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$95,829.28 ",COMMUNICATIONS DIRECTOR,EMERGENCY COMMUNICATION
"$33,820.80 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$31,012.80 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$29,536.00 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$29,536.00 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$45,804.44 ",TELECOMMUNICATOR TRAINEE,EMERGENCY COMMUNICATION
"$35,542.42 ",COMMUNICATIONS OFFICER,EMERGENCY COMMUNICATION
"$42,109.99 ",EXECUTIVE SECRETARY,EMERGENCY COMMUNICATION
"$34,049.60 ",PARTTIME OFFICE/CLERICAL,EMERGENCY COMMUNICATION
"$39,377.73 ",ASST COMMUNICATIONS SHIFT SUPV,EMERGENCY COMMUNICATION
"$35,774.47 ",MANAGEMENT ASSISTANT,EQUAL OPP & EQUITY ASSURANCE
"$83,562.17 ",EQUAL OPPORT/EQUITY ASSURANCE,EQUAL OPP & EQUITY ASSURANCE
"$52,535.72 ",EQUAL OPPORT/EQUITY ASSURANCE,EQUAL OPP & EQUITY ASSURANCE
"$56,109.00 ",EQUAL OPPORT/EQUITY ASSURANCE,EQUAL OPP & EQUITY ASSURANCE
"$43,242.74 ",ADMINISTRATIVE ASSISTANT,EQUAL OPP & EQUITY ASSURANCE
"$51,393.00 ",SR EQUAL OPPOR/EQUITY ASSUR SP,EQUAL OPP & EQUITY ASSURANCE
"$85,996.02 ",ASST FIN DIRECTOR,FINANCE
"$79,023.06 ",ASST FIN DIRECTOR,FINANCE
"$110,312.98 ",FINANCE DIRECTOR,FINANCE
"$36,749.90 ",MANAGEMENT ASSISTANT,FINANCE
"$35,624.59 ",ACCOUNTING SPECIALIST,FINANCE
"$57,248.88 ",SENIOR ACCOUNTANT,FINANCE
"$45,105.02 ",ACCOUNTANT I,FINANCE
"$34,125.00 ",ACCOUNTING SPECIALIST,FINANCE
"$34,598.55 ",ACCOUNTING SPECIALIST,FINANCE
"$34,272.15 ",ACCOUNTING SPECIALIST,FINANCE
"$50,085.02 ",SENIOR ACCOUNTANT,FINANCE
"$67,782.00 ",ACCOUNTING OPERATIONS SUPERVIS,FINANCE
"$54,537.14 ",SENIOR ACCOUNTANT,FINANCE
"$64,871.83 ",FINANCIAL REPORTING SUPERVISOR,FINANCE
"$78,261.33 ",ACCOUNTING SERVICES MANAGER,FINANCE
"$38,634.41 ",SR ACCOUNTING SPECIALIST,FINANCE
"$34,450.00 ",ACCOUNTING SPECIALIST,FINANCE
"$33,600.02 ",ACCOUNTING SPECIALIST,FINANCE
"$46,004.87 ",ACCOUNTANT I,FINANCE
"$49,377.75 ",SENIOR ACCOUNTANT,FINANCE
"$67,344.69 ",SENIOR ACCOUNTANT,FINANCE
"$33,639.00 ",ACCOUNTING SPECIALIST,FINANCE
"$42,255.00 ",ACCOUNTING SPECIALIST,FINANCE
"$74,200.06 ",ERP PROJECT MANAGER,FINANCE
"$25,504.05 ",SECRETARY,FINANCE
"$74,504.00 ",ERP PROJECT COORDINATOR,FINANCE
"$61,214.89 ",ERP PROJECT COORDINATOR,FINANCE
"$60,420.06 ",ERP PROJECT COORDINATOR,FINANCE
"$72,758.40 ",ERP PROJECT COORDINATOR,FINANCE
"$27,040.00 ",PARTTIME OFFICE/CLERICAL,HUMAN RESOURCES
"$75,477.95 ",TREASURY MANAGER,FINANCE
"$56,205.79 ",SENIOR TREASURY ANALYST,FINANCE
