name,material,city,height,completed
One World Trade Center,mixed/composite,New York City,541.2999878,2014
Willis Tower,steel,Chicago,442.1400146,1974
432 Park Avenue,concrete,New York City,425.5,2015
Trump International Hotel & Tower,concrete,Chicago,423.2200012,2009
Empire State Building,steel,New York City,381,1931
Bank of America Tower,mixed/composite,New York City,365.7999878,2009
Stratosphere Tower,concrete,Las Vegas,350.2200012,1996
Aon Center,steel,Chicago,346.2600098,1973
John Hancock Center,steel,Chicago,343.6900024,1969
Chrysler Building,steel,New York City,318.8999939,1930
New York Times Tower,steel,New York City,318.769989,2007
Bank of America Plaza,mixed/composite,Atlanta,311.7999878,1992
U.S. Bank Tower,steel,Los Angeles,310.2900085,1990
The Franklin - North Tower,mixed/composite,Chicago,306.9400024,1989
One57,mixed/composite,New York City,306.0700073,2014
JPMorgan Chase Tower,mixed/composite,Houston,305.4100037,1982
Two Prudential Plaza,concrete,Chicago,303.2799988,1990
Wells Fargo Plaza,steel,Houston,302.3699951,1983
4 World Trade Center,mixed/composite,New York City,297.730011,2014
Comcast Center,mixed/composite,Philadelphia,296.730011,2008
311 South Wacker Drive,concrete,Chicago,292.9200134,1990
70 Pine,steel,New York City,290.1700134,1932
Key Tower,mixed/composite,Cleveland,288.6499939,1991
One Liberty Place,steel,Philadelphia,288.0400085,1987
Columbia Center,mixed/composite,Seattle,284.3800049,1984
The Trump Building,steel,New York City,282.5499878,1930
Bank of America Plaza,mixed/composite,Dallas,280.7200012,1985
Citigroup Center,steel,New York City,278.8999939,1977
Williams Tower,steel,Houston,274.6300049,1982
Renaissance Tower,steel,Dallas,270.0599976,1986
Bank of America Corporate Center,concrete,Charlotte,265.480011,1992
Eight Spruce Street,concrete,New York City,265.1799927,2011
900 North Michigan Avenue,mixed/composite,Chicago,265,1989
SunTrust Plaza,concrete,Atlanta,264.25,1992
Trump World Tower,concrete,New York City,262.4400024,2001
Water Tower Place,concrete,Chicago,261.8800049,1976
Aqua,concrete,Chicago,261.75,2009
Aon Center,steel,Los Angeles,261.519989,1974
Transamerica Pyramid,mixed/composite,San Francisco,260,1972
Comcast Building,steel,New York City,259.0799866,1933
Chase Tower,steel,Chicago,259.0799866,1969
Two Liberty Place,steel,Philadelphia,258.4700012,1990
Park Tower,concrete,Chicago,257.3500061,2000
U.S. Steel Tower,steel,Pittsburgh,256.3399963,1970
One Atlantic Center,mixed/composite,Atlanta,249.9400024,1987
