YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,kod,SP_CODE,imp_rec,LNGTH,WGT,lngth_imp,wgt_imp,month,strat_id,psu_id,common,wp_size,l_in_bin,l_cm_bin,VAR_ID,ARX_METHOD,ALT_FLAG,date_published
2021,12,5,4,1546620210118001,7,1,we,8835280201,,703,4.81,0,0,01,2021011235weS:8AM-8PM,2021112351546620210118,AFRICAN POMPANO,112.3627181,27,70,2021011235weS:8AM-8PM,,0,4/26/23
2021,12,5,4,1546620210124001,7,1,we,8835280201,,641,3.99,0,0,01,2021011235weS:8AM-8PM,2021112351546620210124,AFRICAN POMPANO,134.7290986,25,64,2021011235weS:8AM-8PM,,0,4/26/23
2021,12,5,4,1546620210124001,7,1,we,8835280201,,584,3.01,0,0,01,2021011235weS:8AM-8PM,2021112351546620210124,AFRICAN POMPANO,134.7290986,22,58,2021011235weS:8AM-8PM,,0,4/26/23
2021,12,5,4,1563120210124002,7,1,we,8835280201,,936,11.32,0,0,01,2021011285weS:8AM-8PM,2021112851563120210124,AFRICAN POMPANO,15.00786265,36,93,2021011285weS:8AM-8PM,,0,4/26/23
2021,12,5,4,1563120210124002,7,1,we,8835280201,,925,11.24,0,0,01,2021011285weS:8AM-8PM,2021112851563120210124,AFRICAN POMPANO,15.00786265,36,92,2021011285weS:8AM-8PM,,0,4/26/23
2021,12,5,4,1572020210207007,7,1,we,8835280201,,995,13.22,0,0,02,2021021285weS:8AM-8PM,2021112851572020210207,AFRICAN POMPANO,35.51495011,39,99,2021021285weS:8AM-8PM,,0,4/26/23
2021,12,5,4,1572020210207008,7,1,we,8835280201,,916,10.98,0,0,02,2021021285weS:8AM-8PM,2021112851572020210207,AFRICAN POMPANO,35.51495011,36,91,2021021285weS:8AM-8PM,,0,4/26/23
2021,12,5,4,1572020210207008,7,1,we,8835280201,,897,9.9,0,0,02,2021021285weS:8AM-8PM,2021112851572020210207,AFRICAN POMPANO,35.51495011,35,89,2021021285weS:8AM-8PM,,0,4/26/23
2021,12,5,4,1586520210122015,7,1,we,8835280201,,682,4.88,0,0,01,2021011285weS:8AM-8PM,2021112851586520210122,AFRICAN POMPANO,21.0235496,26,68,2021011285weS:8AM-8PM,,0,4/26/23
2021,12,5,3,1586520210125022,7,1,wd,8835280201,,925,11.24,1,1,01,2021011285wdS:8AM-8PM,2021112851586520210125,AFRICAN POMPANO,13.38255586,36,92,2021011285wdS:8AM-8PM,,0,4/26/23
2021,12,5,1,1563620210210011,6,1,wd,8835280803,,372,0.86,0,0,02,2021021255wdS:8AM-8PM,2021112551563620210210,ALMACO JACK,171.8325075,14,37,2021021255wdS:8AM-8PM,,0,4/26/23
2021,12,5,2,1581320210227006,6,1,we,8835280803,,499,2.06,0,0,02,2021021275weS:8AM-8PM,2021112751581320210227,ALMACO JACK,113.272923,19,49,2021021275weS:8AM-8PM,,0,4/26/23
2021,12,5,2,1581320210227006,6,1,we,8835280803,,512,2.1,0,0,02,2021021275weS:8AM-8PM,2021112751581320210227,ALMACO JACK,113.272923,20,51,2021021275weS:8AM-8PM,,0,4/26/23
2021,12,5,2,1581320210227006,6,1,we,8835280803,,526,2.5,0,0,02,2021021275weS:8AM-8PM,2021112751581320210227,ALMACO JACK,113.272923,20,52,2021021275weS:8AM-8PM,,0,4/26/23
2021,12,5,2,1581320210227006,6,1,we,8835280803,,577,3,0,0,02,2021021275weS:8AM-8PM,2021112751581320210227,ALMACO JACK,113.272923,22,57,2021021275weS:8AM-8PM,,0,4/26/23
2021,12,5,2,1581320210227006,6,1,we,8835280803,,480,1.52,0,0,02,2021021275weS:8AM-8PM,2021112751581320210227,ALMACO JACK,113.272923,18,48,2021021275weS:8AM-8PM,,0,4/26/23
2021,12,5,2,1581320210227006,6,1,we,8835280803,,479,1.76,0,0,02,2021021275weS:8AM-8PM,2021112751581320210227,ALMACO JACK,113.272923,18,47,2021021275weS:8AM-8PM,,0,4/26/23
2021,12,5,2,1581320210227006,6,1,we,8835280803,,579,3.14,0,0,02,2021021275weS:8AM-8PM,2021112751581320210227,ALMACO JACK,113.272923,22,57,2021021275weS:8AM-8PM,,0,4/26/23
2021,12,5,2,1581320210227006,6,1,we,8835280803,,494,1.82,0,0,02,2021021275weS:8AM-8PM,2021112751581320210227,ALMACO JACK,113.272923,19,49,2021021275weS:8AM-8PM,,0,4/26/23
2021,12,5,2,1581320210227006,6,1,we,8835280803,,531,2.38,0,0,02,2021021275weS:8AM-8PM,2021112751581320210227,ALMACO JACK,113.272923,20,53,2021021275weS:8AM-8PM,,0,4/26/23
2021,12,5,2,1583820210130004,6,1,we,8835280803,,572,3.48,0,0,01,2021011265weS:8AM-8PM,2021112651583820210130,ALMACO JACK,60.57363435,22,57,2021011265weS:8AM-8PM,,0,4/26/23
2021,12,5,2,1583820210130004,6,1,we,8835280803,,570,3.36,0,0,01,2021011265weS:8AM-8PM,2021112651583820210130,ALMACO JACK,60.57363435,22,57,2021011265weS:8AM-8PM,,0,4/26/23
2021,12,5,2,1586620210206009,6,1,we,8835280803,,570,3.36,1,1,02,2021021265weS:8AM-8PM,2021112651586620210206,ALMACO JACK,27.57561208,22,57,2021021265weS:8AM-8PM,,0,4/26/23
2021,12,5,2,1586620210206009,6,1,we,8835280803,,531,2.38,1,1,02,2021021265weS:8AM-8PM,2021112651586620210206,ALMACO JACK,27.57561208,20,53,2021021265weS:8AM-8PM,,0,4/26/23
2021,12,5,2,1586620210206009,6,1,we,8835280803,,480,1.52,1,1,02,2021021265weS:8AM-8PM,2021112651586620210206,ALMACO JACK,27.57561208,18,48,2021021265weS:8AM-8PM,,0,4/26/23
