POSTAL CODE,POP2022
27006,15825
27007,2187
27009,3486
27011,4853
27012,28173
27013,6740
27014,803
27016,1759
27017,9271
27018,7701
27019,3391
27020,5747
27021,16678
27022,1081
27023,13651
27024,2243
27025,12000
27027,4209
27028,26025
27030,37035
27040,12778
27041,7475
27042,177
27043,7224
27045,9906
27046,2295
27047,1307
27048,8324
27050,3803
27051,8031
27052,10726
27053,3025
27054,2017
27055,14997
27101,20831
27103,34970
27104,30256
27105,41043
27106,48823
27107,50384
27109,2547
27110,2421
27127,41958
27201,121
27202,110
27203,21982
27205,35933
27207,3726
27208,1615
27209,4521
27212,2084
27213,60
27214,13510
27215,45982
27217,40036
27229,3174
27231,2221
27233,3068
27235,5068
27239,7681
27242,1271
27243,5121
27244,16092
27247,228
27248,4211
27249,12643
27252,1485
27253,31282
27256,58
27258,7319
27259,114
27260,24878
27262,25652
27263,21597
27265,50977
27268,995
27278,28048
27281,3271
27282,15365
27283,3285
27284,56773
27288,23604
27291,1115
27292,40338
27295,38895
27298,11154
27299,5260
27301,10148
27302,34394
27305,1774
27306,5501
27310,8571
27311,3766
27312,22972
27313,6784
27314,642
27315,1590
27316,7270
27317,18092
27320,37213
27325,7281
27326,3433
27330,40657
27332,33892
27340,40
27341,4128
27342,111
27343,1510
27344,18894
27349,6347
27350,5603
27351,222
27355,2709
27356,3020
27357,9384
27358,15472
27360,47432
27370,14951
27371,7628
27374,260
27376,8915
27377,9854
27379,4570
27401,21253
27403,19553
27405,51962
27406,64386
27407,54257
27408,16399
27409,17070
27410,54951
27411,1697
27412,3101
27455,29259
27501,22339
27502,47943
27503,6030
27504,15057
27505,7541
27506,990
27507,1935
27508,2409
27509,7196
27510,14131
27511,32880
27513,47195
27514,32149
27516,44697
27517,27761
27518,19102
27519,66046
27520,46059
27521,6909
27522,12308
27523,16802
27524,13976
27525,15124
27526,56866
27527,34321
27529,53223
27530,37447
27531,642
27533,216
27534,30742
27536,15383
27537,23698
27539,27212
27540,44843
27541,3522
27542,9610
27544,4319
27545,32684
27546,20534
27549,25193
27551,1962
27553,1613
27555,477
27556,225
27557,8498
27559,2199
27560,38567
27562,4345
27563,5689
27565,25938
27568,1509
27569,8963
27570,0
27571,8492
27572,6857
27573,11664
27574,14693
27576,20011
27577,26778
27581,3774
27582,358
27583,6935
27584,173
27587,78666
27589,6412
27591,25877
27592,19011
27593,0
27594,80
27596,18806
27597,27962
27599,0
27601,10801
27603,53535
27604,43924
27605,6085
27606,45546
27607,26026
27608,12069
27609,35038
27610,81219
27612,39546
27613,44575
27614,33609
27615,46182
27616,57599
27617,19202
27695,2164
27697,0
27701,24380
27703,60483
27704,41966
27705,46880
27707,50696
27708,3209
27709,0
27712,23150
27713,57157
27801,19356
27803,18991
27804,29646
27805,3321
27806,2248
27807,6137
27808,2208
27809,4209
27810,3736
27812,2232
27813,735
27814,1685
27815,0
27816,3199
27817,7285
27818,1189
27819,671
27820,2276
27821,40
27822,7870
27823,6786
27824,1445
27825,85
27826,1116
27827,122
27828,8978
27829,1387
27830,3867
27831,2522
27832,2505
27834,54547
27837,5931
27839,3807
27840,231
27841,26
27842,1503
27843,1011
27844,3156
27845,2477
27846,2726
27847,1140
27849,1150
27850,7015
27851,5250
27852,2443
27853,659
27855,5608
27856,16826
27857,1096
27858,57075
27860,1311
27861,101
27862,577
27863,13545
27864,4524
27865,2479
27866,862
27869,1774
27870,25279
27871,3606
27872,471
27873,277
27874,3168
27875,164
27876,1058
27877,12
27878,962
27879,244
27880,3969
27881,16
27882,8193
27883,3751
27884,1541
27885,734
27886,18341
27888,1814
27889,24515
27890,2341
27891,4812
27892,13960
27893,38929
27896,19467
27897,1303
27909,40490
27910,10971
27915,370
27916,884
27917,720
27919,785
27920,1477
27921,4696
27922,838
27923,572
27924,2401
27925,3117
27926,2027
27927,1279
27928,1865
27929,3403
27932,12881
27935,1667
27936,659
27937,3050
27938,1764
27939,2407
27941,493
27942,684
27943,458
27944,11204
27946,1155
27947,1183
27948,12579
27949,7874
27950,1819
27953,774
27954,6937
27956,174
27957,1342
27958,12612
27959,3158
27960,715
27962,6959
27964,673
27965,354
27966,1165
27967,404
27968,184
27969,286
27970,2799
27972,210
27973,1266
27974,1097
27976,4330
27978,341
27979,681
27980,1572
27981,2009
27982,130
27983,8227
27985,325
27986,1875
28001,25949
28006,1206
28007,913
28009,1216
28012,26027
28016,13234
28017,483
28018,4516
28019,0
28020,2450
28021,13702
28023,15703
28024,24
28025,57384
28027,79079
28031,30324
28032,2925
28033,2738
28034,19063
28036,21492
28037,24834
28039,21
28040,7061
28041,2
28042,337
28043,21264
28052,35894
28054,40345
28056,35493
28071,2996
28072,662
28073,6588
28074,0
28075,21914
28076,152
28077,389
28078,68639
28079,40539
28080,7830
28081,27527
28083,25746
28086,28652
28088,3094
28089,142
28090,7998
28091,1887
28092,41002
28097,7162
28098,3573
28101,1048
28102,111
28103,10499
28104,35285
28105,44899
28107,9353
28108,27
28109,641
28110,54577
28112,27845
28114,7796
28115,41386
28117,47574
28119,2253
28120,23418
28124,6362
28125,2643
28127,7257
28128,7602
28129,5690
28133,2125
28134,12746
28135,5417
28136,83
28137,2837
28138,10013
28139,18624
28144,27049
28146,32181
28147,24529
28150,26040
28152,25873
28159,2954
28160,3957
28163,6123
28164,15678
28166,10470
28167,2142
28168,10632
28169,170
28170,9707
28173,62501
28174,8547
28202,16150
28203,17989
28204,9525
28205,51160
28206,14000
28207,9461
28208,40502
28209,23719
28210,46811
28211,32050
28212,43301
28213,44515
28214,41117
28215,64713
28216,53422
28217,31756
28223,3801
28226,38475
28227,59904
28244,0
28262,45186
28269,78540
28270,34169
28273,46663
28274,657
28277,71047
28278,35260
28280,0
28282,0
28301,16206
28303,30468
28304,36289
28305,5640
28306,43736
28307,14760
28308,357
28310,8830
28311,34683
28312,20111
28314,57908
28315,13997
28318,3925
28320,8145
28323,4695
28325,428
28326,25713
28327,18810
28328,26101
28330,535
28331,51
28332,787
28333,9985
28334,22249
28337,8920
28338,3721
28339,6508
28340,9790
28341,3271
28342,143
28343,1857
28344,4766
28345,11484
28347,2016
28348,38665
28349,3765
28350,222
28351,4617
28352,24403
28355,0
28356,5638
28357,2429
28358,34093
28359,957
28360,13687
28362,44
28363,965
28364,13151
28365,14898
28366,4997
28367,173
28368,116
28369,2067
28371,6149
28372,12346
28373,2671
28374,19189
28375,184
28376,43457
28377,11548
28378,22
28379,24537
28382,6689
28383,6499
28384,10146
28385,2149
28386,5065
28387,15277
28390,24902
28391,5724
28392,1727
28393,1914
28394,5171
28395,2426
28396,2272
28398,6308
28399,1825
28401,21872
28403,39628
28405,34356
28409,34397
28411,36536
28412,42122
28420,2710
28421,2047
28422,8106
28423,2624
28424,35
28425,10903
28428,6949
28429,8597
28430,2165
28431,6509
28432,1447
28433,4403
28434,385
28435,1964
28436,1469
28438,1490
28439,879
28441,2970
28442,1184
28443,25655
28444,2500
28445,9675
28447,1378
28448,871
28449,2033
28450,2078
28451,42073
28452,541
28453,3559
28454,2769
28455,2245
28456,4001
28457,11281
28458,5481
28460,11666
28461,22255
28462,11862
28463,6999
28464,2388
28465,8228
28466,8470
28467,13185
28468,4645
28469,8828
28470,10645
28472,17854
28478,4424
28479,6333
28480,2899
28501,18635
28504,20321
28508,1736
28509,0
28510,1379
28511,604
28512,3414
28513,9819
28515,2940
28516,10610
28518,7627
28519,510
28520,170
28521,1632
28523,2495
28524,275
28525,2790
28526,2584
28527,1055
28528,606
28529,1776
28530,6572
28531,1104
28532,20301
28533,2729
28537,16
28538,2221
28539,18258
28540,50207
28542,3348
28543,6841
28544,5179
28546,47841
28547,19509
28551,12666
28552,199
28553,444
28554,91
28555,5349
28556,777
28557,15379
28560,28713
28562,38048
28570,21518
28571,2892
28572,6069
28573,1863
28574,19987
28575,207
28577,349
28578,5627
28579,734
